Title,Body,Video,Image,Links
The Expanse,"The Expanse is set in a future in which humanity has colonized much of the Solar System, but does not have the means to travel to other systems. In the asteroid belt and beyond, tensions are rising between Earth's United Nations, Mars, and the outer planets.

The series initially takes place in our solar system, using many real world locations such as Ceres and Eros in the asteroid belt, several moons of Jupiter, with Ganymede and Europa the most developed and small science bases as far out as Phoebe around Saturn and Titania around Uranus. There are also well established, domed settlements on Mars and the Moon.

Central to the series is the existence of The Protomolecule, an advanced alien terraforming tool that arrived in our solar system billions of years ago aboard a Bracewall probe. Much like the Exsurgent Virus, it’s capable of infecting and transforming biological life forms it encounters, using them to build strange and inhuman structures.",https://www.youtube.com/watch?v=8X5gXIQmY-E,https://dl.dropboxusercontent.com/u/87325424/eldrich-images/inspiration/the-expanse.jpg,"http://www.jamessacorey.com/books/
http://expanse.wikia.com/wiki/The_Expanse_Wiki
http://www.orbitbooks.net/calibans-war"
Person of Interest,"Person of Interest centers on a mysterious reclusive billionaire computer programmer named Harold Finch, who develops a computer system known as ""The Machine"" for the U.S. government. The Machine is capable of collating all sources of information to predict and identify in advance, people planning terrorist acts. Finch finds that the Machine also identifies other perpetrators and victims of deadly intentions, but being considered ""irrelevant"" this information is deleted each night, and he realizes the Machine has developed into a superintelligent artificial intelligence, leaving him wrestling with the questions of human control and other moral and ethical issues resulting from the situation.",https://www.youtube.com/watch?v=jKPZTXeN2Cw,https://dl.dropboxusercontent.com/u/87325424/eldrich-images/inspiration/person-of-interest-decision-tree.jpg,"http://personofinterest.wikia.com/wiki/Person_of_Interest_Wiki
http://www.rifters.com/crawl/?p=5817 "
Transmetropolitan,"Transmetropolitan is a cyberpunk, transhumanist comic book series written by Warren Ellis. It chronicles the battles of Spider Jerusalem, infamous renegade gonzo journalist of the future, an homage to gonzo journalism founder Hunter S. Thompson. Spider Jerusalem dedicates himself to fighting the corruption and abuse of power of two successive United States presidents; he and his ""filthy assistants"" strive to keep their world from turning more dystopian than it already is while dealing with the struggles of fame and power, brought about due to the popularity of Spider via his articles.",,https://www.walldevil.com/wallpapers/w08/transmetropolitan.jpg,"http://comicvine.gamespot.com/spider-jerusalem/4005-15813/
https://en.wikiquote.org/wiki/Transmetropolitan
https://read.dccomics.com/comixology/#/series/2725/Transmetropolitan"
Android: Netrunner,"A living card game produced by Fantasy Flight Games, set in the dystopian Android universe. Hypercorporations vie for control of humanity’s resources and criminal hacker factions harass them, breaking into servers and stealing restricted information. Although the setting is pre-Fall, themes like ubiquitous surveillance, bioethics, and emergent AIs are key parts of the Android world.",,https://dl.dropboxusercontent.com/u/87325424/eldrich-images/inspiration/android-netrunner.jpg,"http://android-universe-fan.wikia.com/wiki/Android_Universe_Wiki
https://www.fantasyflightgames.com/en/products/android-netrunner-the-card-game/"
Planetary,"Describing themselves as ""Archaeologists of the Impossible"", Planetary is an organization intent on discovering the world's secret history. The field team travels the world investigating strange phenomena - including monsters, aliens and superhumans, unusual relics and suppressed military secrets - for both the betterment of mankind and out of sheer curiosity. The group is sporadically opposed by a rival group of posthumans called the Four, a parallel Fantastic Four (Dr. Randall Dowling, Kim Süskind, William Leather and Jacob Greene) intent on using the secrets of the world for personal gain.",,https://dl.dropboxusercontent.com/u/87325424/eldrich-images/inspiration/planetary.jpg,
Global Frequency,"The Global Frequency is an independent, covert intelligence organization headed by a former intelligence agent who uses the alias of Miranda Zero. There are reportedly 1,001 people on the Global Frequency, forming an active smart mob communicating by specially modified video mobile phones through a central dispatch system coordinated by a young woman code-named Aleph.

The purpose of the organization is to protect and rescue the world from the consequences of the various secret projects that the governments or individuals of the world have established, which are unknown to the public at large. The people on the Global Frequency are chosen and called on for their specialized skills in a variety of areas, and include military personnel, intelligence agents, police detectives, scientific researchers, academics, athletes, former criminals and assassins. The threats addressed by the organization are equally varied and usually world-threatening, including rogue military operations, paranormal phenomena, terrorist attacks and religious cults.

The existence of the organization is an open secret, but its membership list is anonymous, the identities of its field agents unknown to even each other before they meet on a mission. Often the only way to tell a member of the Global Frequency is by the phones that they carry or the Global Frequency symbol—a circle with four points on its perimeter 90 degrees apart—that they sport somewhere on their person.",https://www.youtube.com/watch?v=EShP8FbVW_k,https://dl.dropboxusercontent.com/u/87325424/eldrich-images/inspiration/global-frequency.jpg,
